                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.50351,                0.39588,                0.82229,                0.84343,                 0.5872,                0.68846,                0.58886,                0.77455,                 1.2667,                0.90571,             0.00040865,             0.00040865,             0.00040865
                     74,                0.51033,                0.39149,                0.82702,                0.82443,                0.60251,                0.70053,                0.58774,                0.78864,                 1.2547,                0.90085,             0.00040357,             0.00040357,             0.00040357
                     75,                0.49977,                0.38006,                0.82508,                0.87357,                0.58585,                0.70778,                0.59574,                0.79704,                 1.2514,                0.89975,              0.0003985,              0.0003985,              0.0003985
                     76,                0.48402,                 0.3713,                0.82587,                0.84016,                0.61493,                0.71293,                0.60091,                0.77679,                 1.2281,                0.89842,             0.00039342,             0.00039342,             0.00039342
                     77,                0.48641,                0.38008,                0.82549,                0.76771,                0.65284,                 0.7149,                0.60863,                0.78543,                 1.2434,                0.89989,             0.00038835,             0.00038835,             0.00038835
                     78,                0.49825,                0.39032,                0.81884,                0.81896,                 0.6414,                0.71068,                0.58951,                0.81338,                 1.2456,                0.90691,             0.00038327,             0.00038327,             0.00038327
                     79,                0.51325,                0.39955,                0.83369,                0.87049,                0.62281,                0.70871,                0.58917,                0.81469,                  1.244,                0.91311,             0.00037819,             0.00037819,             0.00037819
                     80,                0.52165,                0.39805,                0.84021,                0.84782,                0.63666,                0.70523,                  0.588,                0.81962,                 1.2692,                0.91767,             0.00037312,             0.00037312,             0.00037312
                     81,                0.52913,                0.41415,                0.83151,                0.80204,                0.65761,                0.70571,                0.58633,                0.81055,                 1.2748,                0.91439,             0.00036804,             0.00036804,             0.00036804
                     82,                0.50113,                0.37881,                0.83419,                0.89974,                0.60676,                0.70409,                0.59935,                0.79021,                 1.2472,                 0.9085,             0.00036297,             0.00036297,             0.00036297
                     83,                0.48995,                0.37721,                0.83146,                0.89928,                0.60383,                0.70074,                 0.5898,                0.79447,                 1.2355,                0.90573,             0.00035789,             0.00035789,             0.00035789
                     84,                0.46646,                0.36245,                0.82085,                0.88674,                0.58802,                0.69439,                0.57938,                0.80211,                 1.2433,                0.90865,             0.00035282,             0.00035282,             0.00035282
                     85,                0.52305,                0.39245,                0.82267,                0.84477,                0.60715,                0.69537,                0.58351,                 0.8054,                 1.2641,                 0.9132,             0.00034774,             0.00034774,             0.00034774
                     86,                0.48012,                0.37024,                0.81514,                0.79268,                0.62001,                0.68906,                0.58415,                0.79082,                 1.2318,                0.90981,             0.00034267,             0.00034267,             0.00034267
                     87,                0.51215,                0.38021,                0.82613,                0.78513,                0.61666,                0.68407,                0.58069,                0.78589,                 1.2397,                0.90902,             0.00033759,             0.00033759,             0.00033759
                     88,                 0.4815,                 0.3681,                0.82791,                0.81504,                 0.6269,                0.69917,                0.58424,                0.80094,                 1.2169,                0.91659,             0.00033252,             0.00033252,             0.00033252
                     89,                0.50534,                  0.376,                0.81943,                0.82599,                0.62651,                0.70483,                0.58413,                 0.8092,                 1.2205,                0.91839,             0.00032744,             0.00032744,             0.00032744
                     90,                0.50436,                0.37783,                0.82456,                0.83629,                 0.6272,                0.70739,                 0.5898,                0.79834,                  1.212,                 0.9153,             0.00032236,             0.00032236,             0.00032236
                     91,                0.50202,                0.37593,                0.82301,                0.86461,                0.59279,                0.70565,                0.58761,                0.81731,                 1.2136,                 0.9175,             0.00031729,             0.00031729,             0.00031729
                     92,                0.48587,                0.37805,                0.82211,                0.80268,                0.63597,                0.71003,                0.59448,                0.79732,                 1.2288,                0.91514,             0.00031221,             0.00031221,             0.00031221
                     93,                0.49824,                0.37289,                0.82711,                0.81567,                0.64173,                0.71119,                 0.6013,                 0.8083,                 1.2271,                0.91622,             0.00030714,             0.00030714,             0.00030714
