                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.41711,                0.29608,                0.80863,                0.95725,                0.70102,                0.79233,                0.68435,                0.74281,                0.81963,                0.87511,             0.00023109,             0.00023109,             0.00023109
                    123,                0.42265,                0.29021,                0.80522,                0.93902,                0.71236,                0.79437,                0.69016,                0.73739,                0.82525,                0.87292,             0.00022376,             0.00022376,             0.00022376
                    124,                0.43695,                0.30836,                0.80921,                0.94261,                0.70614,                 0.8002,                0.69331,                0.73801,                0.81527,                0.87413,             0.00021642,             0.00021642,             0.00021642
                    125,                0.41522,                0.29532,                0.80481,                0.96423,                0.69335,                0.80202,                0.68964,                0.74169,                0.81719,                0.87768,             0.00020909,             0.00020909,             0.00020909
                    126,                0.40284,                0.29335,                0.79646,                0.94918,                0.71003,                0.80296,                0.69045,                0.73986,                0.80064,                0.87981,             0.00020176,             0.00020176,             0.00020176
                    127,                0.41164,                0.28458,                 0.8111,                0.95259,                0.71419,                0.80715,                0.69773,                0.73848,                0.79581,                0.87896,             0.00019442,             0.00019442,             0.00019442
                    128,                0.41789,                0.28981,                0.80725,                0.94876,                0.71193,                0.80987,                0.70316,                 0.7323,                0.78994,                0.87738,             0.00018709,             0.00018709,             0.00018709
                    129,                 0.4225,                0.30428,                0.80213,                0.93967,                0.71747,                0.80936,                0.69682,                0.73774,                0.81078,                0.88225,             0.00017976,             0.00017976,             0.00017976
                    130,                0.41742,                0.29262,                0.80914,                0.93784,                0.72054,                0.80757,                0.69358,                0.74676,                0.81397,                0.88504,             0.00017243,             0.00017243,             0.00017243
                    131,                 0.4119,                0.28592,                0.80991,                0.95337,                0.71202,                0.80737,                0.68999,                0.74507,                  0.813,                 0.8834,             0.00016509,             0.00016509,             0.00016509
                    132,                0.41799,                0.28888,                0.80705,                0.95305,                0.70948,                0.80738,                0.69455,                0.74558,                0.82658,                0.88338,             0.00015776,             0.00015776,             0.00015776
                    133,                0.38993,                0.28946,                0.79498,                0.95051,                0.71131,                0.80656,                0.69428,                0.75222,                0.83231,                0.88458,             0.00015043,             0.00015043,             0.00015043
                    134,                0.39606,                0.28346,                0.80575,                0.94825,                0.71646,                0.80943,                0.69596,                0.74418,                0.81595,                0.88046,              0.0001431,              0.0001431,              0.0001431
                    135,                0.40054,                0.28575,                0.80306,                0.94885,                0.71214,                0.81032,                0.69746,                0.74776,                0.81779,                0.88086,             0.00013576,             0.00013576,             0.00013576
                    136,                0.39808,                0.28359,                0.79899,                0.97668,                0.69607,                0.81165,                0.69295,                 0.7463,                0.80554,                0.88216,             0.00012843,             0.00012843,             0.00012843
                    137,                0.38915,                0.27355,                0.79923,                0.97799,                 0.6977,                0.81285,                0.69204,                0.75263,                0.81273,                0.88482,              0.0001211,              0.0001211,              0.0001211
                    138,                0.38519,                0.27145,                0.80038,                0.96153,                0.71334,                0.81384,                0.69491,                0.74781,                0.80359,                0.88319,             0.00011377,             0.00011377,             0.00011377
                    139,                0.38629,                0.26275,                  0.798,                0.97401,                0.70916,                  0.814,                0.70011,                0.74573,                0.80446,                 0.8805,             0.00010643,             0.00010643,             0.00010643
                    140,                0.37886,                0.26531,                0.79515,                0.97506,                0.71315,                0.81789,                0.70715,                0.75048,                 0.8113,                0.88101,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                0.38142,                0.25902,                0.79605,                0.94299,                0.73058,                0.81473,                0.70426,                0.75647,                0.80362,                0.88278,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                0.39453,                0.27088,                0.79906,                0.96431,                0.71543,                 0.8132,                0.69897,                0.76187,                0.78659,                0.88693,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                0.39512,                0.25972,                0.80371,                0.93884,                 0.7329,                0.81305,                0.69772,                 0.7602,                0.78335,                0.88775,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                0.37392,                0.25554,                0.80761,                0.94897,                0.71442,                 0.8094,                0.69398,                0.75741,                0.78034,                0.88799,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.37105,                0.25237,                0.79321,                0.94678,                 0.7158,                0.80743,                 0.6937,                 0.7568,                0.78541,                0.88849,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                0.36757,                0.26477,                0.79062,                0.92672,                0.72601,                0.80564,                0.69052,                0.75171,                0.78487,                0.88723,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    147,                0.36744,                0.24548,                0.78146,                0.93668,                0.71631,                0.80725,                0.69027,                0.75214,                0.78402,                 0.8866,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    148,                0.36032,                0.24582,                0.79168,                0.93381,                0.71877,                0.80999,                0.69708,                0.75212,                0.79188,                0.88742,              4.044e-05,              4.044e-05,              4.044e-05
                    149,                0.36941,                0.24334,                0.79788,                 0.9338,                0.71876,                0.81024,                0.69711,                0.75231,                0.78904,                0.88755,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    150,                0.36845,                0.25345,                0.78918,                0.93421,                0.71825,                0.80751,                0.69413,                 0.7504,                0.78827,                0.88682,             2.5775e-05,             2.5775e-05,             2.5775e-05
